|||||||DEATHS|OCCURRING IN-|||||
2|4|2|3|10|6|4|1|1|5|1|1||||1|14°
273|288|319|422|500|513|678|713|692|558|329|201|52|12|3||ii,
134|187|190|196|165|121|125|70|66|37|29|14|3|1|1||11°
18|17|18|23|28|25|28|33|29|35|13|8|4||||48
3|4|6|9|12|13|12|20|5|18|8|2||1||1|Le
|1||2|1|2|2|1||1|2||||1||as
8|12|18|14|16|16|25|33|30|30|23|9|1||||"1|50"

||All|||||DEATHS|AT AGE|OF-||||
|AREA AND COLOR.|deaths.|Under 1 year.|1 year.|2 years|8 years.|4 years.|Under 5 years.|5 years.|10 14 years.|15 19 years.|20 24 years.|25 29 years.
|REGISTRATION CITIES-Continued. MASSACHUSETTS.||||||||||||
1|Adams town|135|21|4|1|2|1|29|3|3||1|2
2|Amesbury town|117 Il|14||1|1|I:|16 II|3|||2|2
3|Arlington town|217 Il|27||2||1 II|30 Il|3|2|6|4|7
4|Attleboro|238 Il|31 I|3|4||1 II|39 Il|6|2|5|13|9
5|Belmont town|80 Il|9|2||||11 Il|1||1|1|1
6|Beverly|243|24|7|3||3|37|8|2|5|5|5
7|Boston White Colored|9.882|1,450|274|115|91|71|2.001 Il|227|158|165 I|236|348
8|Braintree town|344 II|51|15|3|2|4|75 Il|7|5|10|15|25
||132|12|2||1|1|16|2|2|2|12|11
9|Brockton||||||||||||
10|Brookline town|686|98|9|3|5|3|118|17|9|7|11|9
11|Cambridge|399 II|14|4|1|1||20 Il|3|1|3|"8"""|7
12|Chelsea|1.388 Il|195|34|7|7|8 II|251 II|36|19|24|48|45 I
13|Chicopee|576|75|7|8|2|5|97 Il|17|6|9|25|18
||327 II|105|13|5|7|3|133 Il|13|2|4|8|2
14|Clinton town||||||||||||
15|Danvers town *|176|44|6|2|1||53|3|3|4|"11"""|& 3
16|Dedham town|291 Il|12|2|3|||17 Il|1|1|2|40|9
17 18|Easthampton town Everett|112 Il|15|2|||II|17 Il|1|1||1|4
||111 Il|37|3|1|2|2 II|45 Il|5||2|1|NY 2
19|Fall River|348 Il|53|6|5|2|1|67 Il|7|4|11|11#1|137
20|Fitchburg||||||||||||is -
21|Framingham town|1.717|423|104|30|29|17|603|37|35|24|84|42
22|Gardner town|432 Il|85|20|12|6|5 Il|128 Il|9|5|9|10|10
23|Gloucester|255 II|27|5|2|2|3 Il|39 Il|4|41|71|7|41
||190 Il|29|5|2|8||39 Il|2|4|5|6|E
24|Greenfield town|302 Il|86|2|5|i|3 Il|47 Il|4|2|8|7|"= 6"""
25|Haverhill||||||||||||$ M
26|Holyoke|161|21|2|2|1||26|3|2|3|3|
27|Lawrence|664 11|87|10|g|6|3|115 Il|15|9|15|102|20il
28|Leominster|745 II|145|22|13|7|4|191 Il|20|7|13|15%|15
||1.075 II|198|45|20|18|12|293 Il|39|12|17|"24"""|34
29|Lowell|200 Il|24|9|5|3|1 Il|42 Il|6|5|9|4F|37
30|Lynn||||||||||is||
31|Malden|1.465|284|44|24|16|22|390|54|16|25|30|"29"""
32|Marlborough|1.108 Il|156|15|6|8|9 Il|194 Il|26|21|18|22|33
33|Medford|565 Il|66|12|4|8|5 If|95 II|16|9|10|.14|137
34|Melrose.|173 Il|26|2|3||1|32 Il|4|1|3|2|7
35|Methuen|368 Il|46|12|1|1|1 II|61 II|7|4|7|8|107
36|Milford town Natick|206|21|1|2|2||26|1|4|3|6|7
37 38|town New Bedford|201 Il|29|5|2|8|2 II|41 Il|2|3|2|1|6
||182 Il|33|2|2|i||38 Il|3|1|1|7|8
39|Newburyport|142 Il|16|1||||17 II|i||2|2|3
40|Newton|1.384|347|69|24|17|12 Il|469 If|37|25|24|48|41
41|North Adams||||||||||||
42|Northampton*|214|23|5||2|3|33|10|3|2||3
43|Northbridge town|466 II|43|4|5|3|6|61 II|11|6|9|7|14
||270 II|36|4|1|1|3 II|45 Il|7|7|8|8|10
44|Norwood town|422 Il|35|5|4|2|3 II|49 Il|14|6|8|13|11
45|Peabody|90 II|20|3|1||2|26 Il|2||2|1|2
46|Pittsfield||||||||||||
47|Plymouth town|128|25|5|5||1|36|5|2|4|2|5
48|Quincy|195 Il|35|6|2|2|1|46|7|2|2|7|7
||558 Il|70|13 I|7|8|3|110 II|15|11|11|12|25
49|Revere|167|24|4||4|3 II|35 II|4|6|2|1|4
50 51|Salem Saugus town|416 II|55|12|6|3|2|78 Il|7|5|10|8|10
52|Somerville.|185|37|10|3|1|1|52|2|1|1|3|5
53|Southbridge town||||||||||||
||542|82|9|8|5|1 Il|105 Il|13|6|9|8|13
54|Springfield|105 il|17|3|1||Il|21 Il|4|1|2|1|2
55|Taunton|988 II|135|17|7|6|6|171 Il|27|19|26|26|25
56|Wakefield town|132 II|24|7|2|1||34 Il|3|1|7|2|3
57|Waltham||||||||||||
58|Watertown town|1.542|243|36|18|21|13|331|40|25|30|31|59
||635 Il|89|14|3|4|4|114 Il|14|8|14|14|18
59|Webster town|130 Il|12|1|3|1|1|18 II|2|2|1|1|2
60|West Springfield town Westfield town|409 Il|52|8|3|4|3|70|18|8|6|12|12
61 62|Weymouth town|176 I|17|3|1|4|1|26 II|8|1|2|5|5
|Winchester|132|22|2|4|1|1|30|2|2||2|4
63 64|town Winthrop town|117 I|14|7|1|1|1|24 ll|4|||1|
65|Woburn|224 I|26|2|3|3||II 34|II 4|8|8|9|4
66|Worcester|131 Il|13|2|1|1|1|18 Il|3||2||
|MICHIGAN.|116|12|1||1||14|1|2||4|4
||145|Il 16|1||3|1|21||1|1|2|5
67|Adrian|167 Il|26|4|1|2|3|36|II 2|2|3|8|4
68 69|Alpena Ann Arbor*|2,387 Il|371|58|32|21|20|502|II 64|24|51|62|75
70|Battle Creek||||||||||||
71|Bay City|184|16|1||1|3|21|2|6|7|8|7
||154|29|4|2|4|1|Il 40|Il 4||6|2|10
72|Benton Harbor White|504|62|7|2|5|4|Il 80|20|18|15|20|28
73|Detroit Colored|582|II 69|10|3|4||86|II 11|7|17|19|20
74|Escanaba|632|II 95|15|7|7|11|135|21|16|21|20|20
||181|26|3|1|2|1|33|5||6|8|5
||9,653|2,159|373|189|141|112|Il 2,974|369|177|232|306|479
||733|140|38|12|8|3|201|12|17|21|62|72
||215|Il 41|3|3|5|1|Il 53|Il 10|3|6|6|6

||||||DEATHS|AT AGE|OF-|||||||Deaths atun-|
80 to34 years.|35 89 years.|40 to44 years.|45 49 years.|50 to 54 years.|55 59 years.|60 64 years.|65 69 years.|70 74 years.|75 79 years.|80 84 years.|85 89 years.|90 to 94 years.|95 99 years.|100 years and over.|known age.|
5|6|8|9|7|8|9|6|18|9|6|4|2||||1
2|3||10|6|6|10|8|10|20|9|9|1||||2
8|8|ii|14|11|19|15|16|18|17|10|14|3|1|||3
9|10|19|5|9|14|19|20|18|18|11|10|1||||4
2|1|4|i|3|7|11|6|6|10|12|2|||||5
3|7|7|7|12|13|30|21|30|20|12|13|3|3|||6
333|406|451|590|709|709|835|736|724|545|384|215|86|18|6||"n """
10|24|29|31|15|18|19|25|18|8|6|2||1|i||I
3|6|3|3|11|4|13|7|11|12|6|7||1|||8
26|27|28|28|46|40|67|69|65|55|40|18|6||||9
7|9|13|20|24|89|39|44|50|41|"84 |"|20|14|3|||10
48|46|59|69|84|104|123|109|108|89|68|35|15|8|||11
20|17|20|27|31|33|33|26|45|70|52|24|6||||12
8|10|8|17|15|19|21|19|17|14|9|7|1||||13
||||||||||||||||
3|5|9|12|4|8|13|16|12|7|5|2|2||1||14
12|18|11|14|22|25|26|25|27|33|24|15|4|1|||15
2|5|2|4|4|6|14|13|7|11|10|8||2|||16
3|61|3|1|2|9|4|7|5|5|9||1|1|||17
13|8|13|15|17|26|21|28|29|28|18|10|6|2|1||18
37|47|63|74|97|108|120|112|107|80|66|25|5|1|||19
14|17|17|22|28|28|31|31|31|16|15|9|4|2|||"1|20"
8|12|16|10|12|20|14|27|27.|20|13|5|6||||21
8|12|10|11|2|10|16|16|16|12|9|3|1||||22
5|10|7|11|17|27|31|24|27|29|23|14|2|1|||23
|7|2|4|9|10|17|17|19|11|17|6|5||||24
16|25|21|41|35|46|45|66|58|59|38|19|9|2|||25
33|28|33|42|46|45|55|58|56|39|22|25|2||||26
37|38|48|64|58|75|80|63|76|53|42|12|7|2|1||27
3|5|11|7|9|10|19|13|20|12|15|7|||||28
40|45|66|69|94|89|110|126|108|89|50|29|6||||29
34|40|46|49|72|80|86|100|108|79|54|35|10|I 1|||30
19|11|23|24|31|38|54|51|50|44|29|25|6|3|||31
6|6|5|5|7|10|17|12|is|23|10|4|1||||32
9|14|7|12|13|18|27|45|38|35|24|20|8|1|||33
3|9|6|6|10|15|14|18|24|22|18|11|2|1|||34
5|8|7|15|12|10|14|23|14|18|13|7|||||35
4|5|9|6|15|15|11|16|15|17|7|6|3||||36
5|3|4|6|4|11|13|17|18|13|14|6|3||||37
46|51|I 49|47|62|78|84|83|91|75|34|29|8|2|1||38
5|7|9|7|14|14|18|16|19|19|10|21|2|2|||39
14|16|16|24|21|30|35|45|51|38|41|15|8|3|1||40
13|5|8|10|16|20|22|30|30|13|11|4|2|1|||41
18|12|18|19|30|35|31|32|40|28|32|15|8|3|||42
2|3|1|3|4|5|10|9|9|6|2|1|1|||1|"|43"
5|2|4|4|12|9|11|12|3|4|5|2||1|||44
4|9|7|8|10|13|19|u|10|16|8|8|1||||45
16|21|21|30|37|32|43|44|48|37|27|12|4|1|1||46
4|4|5|4|12|12|13|12|13|14|9|5|7|1|||47
10|17|18|25|18|30|35|40|29|26|29|19|2||||48
1|4|3|11|8|22|17|17|11|12|10|3|2||||49
||||||||||||||||
11|27|29|27|25|30|51|45|45|39|37|17|3|1|||15
1|3||4|4|2|8|6|12|10|17|5|2||||51
19|27|34|45|51|56|73|96|99|93|59|31|8|2|1||52
3|5|6|5|6|6|8|7|7|12|12|3|2||||53
61|45|78|82|94|84|107|126|123|102|80|30|11|3|||54
20|26|34|28|36|45|45|53|59|42|43|12|7|3|||55
5|5|2|3|6|7|7|17|16|11|9|11|5||||56
12|8|14|15|20|23|34|39|37|33|22|16|8|2|||57
5|5|4|14|8|6|12|19|15|20|13|7||1|||58
2|4|5|4|4|9|11|14|16|11|6|4|2||||59
3|4|4|11|5|7|8|17|7.|8|7|6|1||||60
9|9|15|4|9|21|18|18|15|19|7|10|3||||61
1|4||5|17|3|10|9|15|14|9|14|5|2|||62
2|3|7|4|7|10|12|12|10|10|4|6|3|1|||63
3|4|6|6|8|9|16|14|13|17|13|6|||||64
5|7|6|10|12|5|12|15|11|13|11|3|1|1|||65
89|90|127|111|143|153|156|189|214|155|100|t 51|28|3|||66
3|4|6|7|12|7|15|16|16|17|18|11|1||||67
6|5|6||3|11|8|16|11|16|6|4|||||68
19|14|22|36|26|41|30|40|33|21|24|13|3|1|||69
21.|18|25|37|34|30|44|59|43|44|44|11|'8|2|1|1|70
15|19|24|30|25|30|34|47|53|52|29|25|10|4|2||71
8|3|9|8|8|10|24|19|13|11|7|2|1|||1|72
467|501|423|431|467|496|525|495|454|368|282|142|52|11|2||l73
69|83|51|41|28|17|20|16|13|4|4|||1|1||If
6|14|10|11|11|13|12|20|13|9|9|1|||1|1|[74

||All|||||DEATHS|AT AGE|OF-||||
|AREA AND COLOR.|deaths.|Under 1 year.|1 year.|2 years.|8 years.|4 years.|Under 5 years.|5 to 9 years.|10 14 years.|15 to 19 years.|.20 to 24 years.|25 29 years.
1|REGISTRATION CITIES-Continued. MICHIGAN-continued. Flint|847|218|23|9|9|9|268|42|15|15|32|22
2|Grand Rapids|1,538|235|23|16|12|5 Il|291|52|34|34|41|43
3|Hamtramck|452|173|42|22|17|23 Il|277 Il|29|3|7|15|18
4 5|Highland Park Holland|342 Il|51|4|4|1|2 Il|62|14|5|5|12|19
||105 Il|12|2|2|1|2 Il|19 Il|3|.|3|3|3
6|Ironwood|133|32|6|1|1|1|41|5|5|1|3|10
7 8|Ishpeming Jackson|116 Il|24|1|3|2|2 Il|32 Il|6||3|7|4
9|Kalamazoo*|686 Il|103|28|11 I|9|5 Il|156 Il|20|11|14|20|21
10|Lansing|897 Il|100|8|8|1|.Il|117 Il|20|12|14|13|40
||638 II|125|21|9|6|5 Il|166 Il|19|10|20|25|18
11|Marquette||||||||||||
12|Monroe|188|37|2|2|2|1|44|7|3|7|6|6
13|Muskegon|130 I|19|2|I|2|2 Il|26 Il|2|1||5|4
14|Owosso|469|76|6|4|1|3 Il|90 Il|12|9|12|14|12
15|Pontiac*|211|41|6|2|4|Il|53 Il|4|2|4|6|7
||438|70|6|2|3|1 Il|82 Il|3|10|5|10|12
16|Port Huron||||||||||||
17|Saginaw|374|65|7|4|1|1|78|13|9|13|15|4
18|Sault Ste. Marie|810|150|22|9|5|3|189 li|30|18|17|22|29
19|Traverse City *|154|32|5|2|1|21|42 Il|10|8|9|7|6
20|Wyandotte|347|18|1|1||1 Il|21 Il|6|5|4|6|10
|MINNESOTA,|172|43|10|7|1|1 Il|62 li|6|3|7|4|10
21|Austin||||||||||||
22|Duluth|111|15|4|3|1|1|24|2|2|8|4|2
23|Faribault *|931|155|23|11|12|9 Il|210 II|25|21|22|41|35
24|Hibbing|207|16||4|1|2 Il|23 li|12|12|14|12|18
25|Mankato|132|32|4|1||2 Il|39 Il|6|1|5|5|14
26|Minnespolis|198 Il|23|2|2|3|Il|30 If|5|1|4|6|5
27|Rochester *|4,289|527|69|53|36|36 II|721 Il|126|72|96|155|202
28 29|St. Cloud St. Paul|817|37|5|3|7|2|54|18|10|20|26|42
30|Virginia|192|40|8|1||4 Il|53 Il|9|4|4|6|5
31|Winona|2.555|304|28|32|24|15 Il|403 Il|66|33|64|96|119
||116|25|3||1|3 Il|32 Il|3|2|2|3|2
|MISSISSIPPI.|245 I|31|4|6|3|1 Il|45 II|10 I|5|8|2|9
32|Biloxi White Colored||||||||||||
|White|126|29|11|3|3|1|47|2|1|4|6|1
33|Columbus Colored|31 Il|4|||1|Il|5 II|2||||
||53|5||||ill|6|Il|1|5||1
34|White Greenville|84 Il|14|2|||Il|16 Il|1|2|9|6|3
35|Colored White Hattiesburg|69|4|2|1|1||8||8|1|3|8
|Colored.||||||||||||
||226 Il|22|4|4|3|1|34|II 9|7|8|8|12
|White|74 Il|5|4||2|1 1|12|Il 4|3|2|3|3
36|Jackson * Colored|65 Il|16|5|1|||22|Il|1|7|6|4
87|Laurel White Colored|290|28|5|7||1|41|3|6|9|17|5
||566 Il|54|6|3|2|1|66 Il|4|8|34|58|49
38|Meridian White|125 Il|11|8|5|1|1|26 Il|8|10|8|7|8
|Colored|92 Il|13|8.||1||22|Il 2|4|6|13|6
39|Natchez White Colored|229|31|15|8|2|1|52|5|5|14|10|12
40|Vicksburg * White|221|Il 31|6|7|1||Il 45|Il 3|8|13|25|19
|Colored|64|II 6||1|2||9|il 1|3|1||4
||135|Il 22|6|1||Il|29|Il 2||6|11|5
|MISSOURI.|148|1l 14|1|1|1|1 ll|18|II|4|2|7|4
41|Cape Girardeau|393|30|6||1||37|II 4|8|16|27|23
42|Carthage||||||||||||
43|Columbia White Colored|186|33|6|4|1||44|1|4|10|11|8
||142|15|4|1||3|23|Il 2|2|6|2|3
44|Hannibal|128|Il 25|1|1|1||28|li 1|1|5|5|5
45|Independence|44|Il 5|1||||6|Il 1|1|2|2|2
46|Jefferson City White Colored|220|29|1||2|1|33|2|7|6|5|5
47|Joplin|203|II 22||3||1|26|Il 8|3|6|4|8
|White|145|Il 19|2|4|1|1|27|il 1|3|5|4|8
48|Kansas City Colored|29|Il 2|||||Il 2|Il 1||1|3|4
49|Moberly|415|Il 53|7|1|4|2|67|Il 11|8|16|16|9
50|St. Joseph|3,891|561|63|37|33|29|723|112|80|101|163|149
51|St. Louis White|763|Il 74|20|7|1|2|If 104|Il 6|12|21|51|54
|Colored|207|Il 18|2|1|8|2|II 26|F 4|6|5|8|6
52|Sedalia|1.253|118|38|12|11|15|Il 194|Il 35|19|35|l' 48|47
53|Springfield|8,306|809|139|78|73|49|1,148|228|134|168|227|320
|MONTANA.|1,301|Il 147|28|15|13|3|206|24|19|51|83|81
54|Anaconda|300|II 25|9|3|5|1|43|7|9|9|9|8
55|Billings|593|Il 80|14|4|7|6|111|7|21|16|20|14
56|Butte||||||||||||
57|Great Falls||||||||||||
58|Helena|118|24|5|1|1|1|32|3|1|8|8|2
59|Missoula|198|Il 36|5|2|5||Il 48 II|6|9|11|9|11
||468|Il 51|7|7|3|1|69|Il 6|3|8|13|15
||263|II 49|8|6||3|II 66|Il 8|5|5|10|13
||167|Il 13|2|||2|17 II|2|2|2|7|6
||212|II 27|3|2|2|1|35|Il 6|5|8|10|7

